relation_idx,relation_name,source_factor,donor_factor,source_idx,donor_idx,source_target_id,donor_target_id,source_target_token,donor_target_token,source_target_clerp,donor_target_clerp,n_source_features,n_donor_features,clean_top1,clean_top1_token,steered_top1,steered_top1_token,top5_ids,top5_tokens,top5_probs,clean_top1_is_source_exact,clean_top1_is_source,top1_is_donor_exact,top1_is_donor,top5_has_donor_exact,top5_has_donor,success_exact,success,p_source_clean,p_source_steered,p_donor_clean,p_donor_steered
0,capital_country,-2.0,0.0,0,1,38365,204061, jordan, greece,"Output "" jordan"" (p=0.385)","Output "" greece"" (p=0.883)",16,11,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,8.150601934175938e-05,6.255016470058106e-12
0,capital_country,-2.0,0.0,0,3,38365,709, jordan, le,"Output "" jordan"" (p=0.385)","Output "" le"" (p=0.719)",16,2,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,0.018735527992248535,7.772784194060023e-09
0,capital_country,-2.0,0.0,0,4,38365,77341, jordan, germany,"Output "" jordan"" (p=0.385)","Output "" germany"" (p=0.961)",16,10,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,0.0007264552405104041,1.9458784583648026e-10
0,capital_country,-2.0,0.0,0,5,38365,2100, jordan, bel,"Output "" jordan"" (p=0.385)","Output "" bel"" (p=0.789)",16,3,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,2.4857929020072334e-05,7.696097648057787e-10
0,capital_country,-2.0,0.0,0,6,38365,12919, jordan, hung,"Output "" jordan"" (p=0.385)","Output "" hung"" (p=0.973)",16,8,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,1.1030640962417237e-05,3.0438660481024726e-09
0,capital_country,-2.0,0.0,0,7,38365,83354, jordan, australia,"Output "" jordan"" (p=0.385)","Output "" australia"" (p=0.918)",16,12,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,0.00018367664597462863,9.191678668196701e-11
0,capital_country,-2.0,0.0,0,8,38365,1600, jordan, den,"Output "" jordan"" (p=0.385)","Output "" den"" (p=0.445)",16,9,38365, jordan,5478, Ha,5478|5861|5213|1877|9830, Ha| Ca| Da| As| Ka,0.15565124|0.094407246|0.094407246|0.083314106|0.044594828,1,1,0,0,0,0,0,0,0.4005832374095917,3.0438660481024726e-09,0.00013438070891425014,6.79178324691776e-10
0,capital_country,-2.0,0.0,1,0,204061,38365, greece, jordan,"Output "" greece"" (p=0.883)","Output "" jordan"" (p=0.385)",11,16,204061, greece,38721, Athens,38721|25553|15556|184951|85687, Athens| Greece| Greek| Parthen| Olympia,0.25775689|0.12175574|0.12175574|0.083681412|0.07384859,1,1,0,0,0,0,0,0,0.8682636618614197,6.2637068367621396e-06,1.2671252989093773e-06,6.089297902717172e-12
0,capital_country,-2.0,0.0,1,3,204061,709, greece, le,"Output "" greece"" (p=0.883)","Output "" le"" (p=0.719)",11,2,204061, greece,38721, Athens,38721|25553|15556|184951|85687, Athens| Greece| Greek| Parthen| Olympia,0.25775689|0.12175574|0.12175574|0.083681412|0.07384859,1,1,0,0,0,0,0,0,0.8682636618614197,6.2637068367621396e-06,9.966712241293862e-06,3.7245364126192726e-08
0,capital_country,-2.0,0.0,1,5,204061,2100, greece, bel,"Output "" greece"" (p=0.883)","Output "" bel"" (p=0.789)",11,3,204061, greece,38721, Athens,38721|25553|15556|184951|85687, Athens| Greece| Greek| Parthen| Olympia,0.25775689|0.12175574|0.12175574|0.083681412|0.07384859,1,1,0,0,0,0,0,0,0.8682636618614197,6.2637068367621396e-06,1.1293764146103058e-05,7.418282654825248e-11
