graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes,error,traceback
000.pt,000,dataset/analogies/000.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/000_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/000_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,17,14,,
001.pt,001,dataset/analogies/001.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/001_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/001_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,15,12,,
002.pt,002,dataset/analogies/002.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/002_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/002_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,15,13,,
003.pt,003,dataset/analogies/003.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/003_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/003_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,19,15,,
004.pt,004,dataset/analogies/004.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/004_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/004_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,17,14,,
005.pt,005,dataset/analogies/005.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/005_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/005_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,19,12,,
006.pt,006,dataset/analogies/006.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/006_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/006_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,13,11,,
007.pt,007,dataset/analogies/007.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/007_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/007_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,17,14,,
008.pt,008,dataset/analogies/008.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/008_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/008_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,skipped_existing,16,14,,
009.pt,009,dataset/analogies/009.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/009_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/009_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,ok,19,16,,
010.pt,010,dataset/analogies/010.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/010_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/010_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,ok,16,12,,
011.pt,011,dataset/analogies/011.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/011_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/011_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8,,
012.pt,012,dataset/analogies/012.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/012_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/012_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,ok,21,16,,
013.pt,013,dataset/analogies/013.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/013_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/013_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9,,
014.pt,014,dataset/analogies/014.pt,summary_graphs/entmax/alpha_0.50/node_0.02_kmeans_kmatched/014_summary_graph.pt,labeled_summary/entmax/alpha_0.50/node_0.02_kmeans_kmatched/014_labeled_summary_graph.pt,gemma-4-31b-it,0.2,one_pass,ok,14,11,,
