normalization,graph_file,graph_stem,graph_path,status,labelled_supernodes,num_supernodes,labeled_summary_graph_path,summary_graph_path,model_name,temperature,label_scheme
softmax,001.pt,001,dataset/analogies/001.pt,ok,12,18,labeled_summary/softmax/alpha_0.50/node_0.02/001_labeled_summary_graph.pt,,,,
softmax,011.pt,011,dataset/analogies/011.pt,ok,9,15,labeled_summary/softmax/alpha_0.50/node_0.02/011_labeled_summary_graph.pt,,,,
softmax,021.pt,021,dataset/analogies/021.pt,ok,13,15,labeled_summary/softmax/alpha_0.50/node_0.02/021_labeled_summary_graph.pt,,,,
softmax,031.pt,031,dataset/analogies/031.pt,ok,9,24,labeled_summary/softmax/alpha_0.50/node_0.02/031_labeled_summary_graph.pt,,,,
softmax,041.pt,041,dataset/analogies/041.pt,ok,8,18,labeled_summary/softmax/alpha_0.50/node_0.02/041_labeled_summary_graph.pt,,,,
softmax,051.pt,051,dataset/analogies/051.pt,ok,7,21,labeled_summary/softmax/alpha_0.50/node_0.02/051_labeled_summary_graph.pt,,,,
softmax,061.pt,061,dataset/analogies/061.pt,ok,15,21,labeled_summary/softmax/alpha_0.50/node_0.02/061_labeled_summary_graph.pt,,,,
softmax,071.pt,071,dataset/analogies/071.pt,ok,11,17,labeled_summary/softmax/alpha_0.50/node_0.02/071_labeled_summary_graph.pt,,,,
softmax,081.pt,081,dataset/analogies/081.pt,ok,10,20,labeled_summary/softmax/alpha_0.50/node_0.02/081_labeled_summary_graph.pt,,,,
softmax,091.pt,091,dataset/analogies/091.pt,ok,14,16,labeled_summary/softmax/alpha_0.50/node_0.02/091_labeled_summary_graph.pt,,,,
,001.pt,001,dataset/analogies/001.pt,skipped_existing,12,15,labeled_summary/entmax/alpha_0.50/node_0.02/001_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,011.pt,011,dataset/analogies/011.pt,skipped_existing,8,12,labeled_summary/entmax/alpha_0.50/node_0.02/011_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/011_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,021.pt,021,dataset/analogies/021.pt,skipped_existing,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/021_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/021_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,031.pt,031,dataset/analogies/031.pt,skipped_existing,10,16,labeled_summary/entmax/alpha_0.50/node_0.02/031_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/031_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,041.pt,041,dataset/analogies/041.pt,skipped_existing,12,15,labeled_summary/entmax/alpha_0.50/node_0.02/041_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/041_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,051.pt,051,dataset/analogies/051.pt,skipped_existing,10,14,labeled_summary/entmax/alpha_0.50/node_0.02/051_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/051_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,061.pt,061,dataset/analogies/061.pt,skipped_existing,15,19,labeled_summary/entmax/alpha_0.50/node_0.02/061_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,071.pt,071,dataset/analogies/071.pt,skipped_existing,14,16,labeled_summary/entmax/alpha_0.50/node_0.02/071_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/071_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,081.pt,081,dataset/analogies/081.pt,skipped_existing,12,16,labeled_summary/entmax/alpha_0.50/node_0.02/081_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/081_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,091.pt,091,dataset/analogies/091.pt,skipped_existing,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/091_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/091_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,000.pt,000,dataset/analogies/000.pt,skipped_existing,14,17,labeled_summary/entmax/alpha_0.50/node_0.02/000_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,002.pt,002,dataset/analogies/002.pt,skipped_existing,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/002_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/002_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,003.pt,003,dataset/analogies/003.pt,skipped_existing,15,19,labeled_summary/entmax/alpha_0.50/node_0.02/003_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/003_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,004.pt,004,dataset/analogies/004.pt,skipped_existing,14,17,labeled_summary/entmax/alpha_0.50/node_0.02/004_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/004_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,005.pt,005,dataset/analogies/005.pt,skipped_existing,12,19,labeled_summary/entmax/alpha_0.50/node_0.02/005_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/005_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,006.pt,006,dataset/analogies/006.pt,skipped_existing,11,13,labeled_summary/entmax/alpha_0.50/node_0.02/006_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/006_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,007.pt,007,dataset/analogies/007.pt,skipped_existing,14,17,labeled_summary/entmax/alpha_0.50/node_0.02/007_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/007_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,008.pt,008,dataset/analogies/008.pt,skipped_existing,14,16,labeled_summary/entmax/alpha_0.50/node_0.02/008_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/008_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
