source_set,graph_file,graph_stem,graph_path,shap_json,shap_row_index,masker_keep_prefix,normalize_method,node_threshold,edge_threshold,combine_method,score_normalization,alpha,logit_weights,keep_all_tokens_and_logits,filter_act_density,act_density_lb,act_density_ub,num_nodes,num_edges,prune_graph_path
clt-hp,000.pt,000,graphs/000.pt,demos/shap_values_analogies.json,1,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,15,96,pruned_graph/analogies/clt-hp/softmax/node_0.01/000_prune_graph.pt
clt-hp,001.pt,001,graphs/001.pt,demos/shap_values_analogies.json,2,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,124,pruned_graph/analogies/clt-hp/softmax/node_0.01/001_prune_graph.pt
clt-hp,002.pt,002,graphs/002.pt,demos/shap_values_analogies.json,3,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,112,pruned_graph/analogies/clt-hp/softmax/node_0.01/002_prune_graph.pt
clt-hp,003.pt,003,graphs/003.pt,demos/shap_values_analogies.json,4,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,19,149,pruned_graph/analogies/clt-hp/softmax/node_0.01/003_prune_graph.pt
clt-hp,004.pt,004,graphs/004.pt,demos/shap_values_analogies.json,5,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,139,pruned_graph/analogies/clt-hp/softmax/node_0.01/004_prune_graph.pt
clt-hp,005.pt,005,graphs/005.pt,demos/shap_values_analogies.json,6,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,15,76,pruned_graph/analogies/clt-hp/softmax/node_0.01/005_prune_graph.pt
clt-hp,006.pt,006,graphs/006.pt,demos/shap_values_analogies.json,7,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,16,96,pruned_graph/analogies/clt-hp/softmax/node_0.01/006_prune_graph.pt
clt-hp,007.pt,007,graphs/007.pt,demos/shap_values_analogies.json,8,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,139,pruned_graph/analogies/clt-hp/softmax/node_0.01/007_prune_graph.pt
clt-hp,008.pt,008,graphs/008.pt,demos/shap_values_analogies.json,9,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,114,pruned_graph/analogies/clt-hp/softmax/node_0.01/008_prune_graph.pt
clt-hp,009.pt,009,graphs/009.pt,demos/shap_values_analogies.json,10,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,120,pruned_graph/analogies/clt-hp/softmax/node_0.01/009_prune_graph.pt
