normalization,graph_file,graph_stem,graph_path,status,shap_row_index,num_nodes,num_edges,prune_graph_path,token_weights
softmax,000.pt,000,dataset/analogies/000.pt,skipped_existing,1,49,1070,pruned_graphs/softmax/alpha_0.50/node_0.02/000_prune_graph.pt,
softmax,001.pt,001,dataset/analogies/001.pt,skipped_existing,2,43,803,pruned_graphs/softmax/alpha_0.50/node_0.02/001_prune_graph.pt,
softmax,002.pt,002,dataset/analogies/002.pt,ok,3,51,1166,pruned_graphs/softmax/alpha_0.50/node_0.02/002_prune_graph.pt,"[0.0, 3.7358373106144427e-07, 6.460416557274584e-07, 3.6716275531034626e-07, 1.0670835308701498e-06, 3.9911456042318605e-06, 3.4906202017737087e-06, 1.4425982044485863e-06, 5.139838776813122e-07, 6.922679176568636e-07, 2.0343868527561426e-05, 1.4455949894909281e-06, 2.5825629563769326e-06, 0.9999270439147949, 1.6342399931090767e-06, 3.4320997656323016e-05]"
softmax,003.pt,003,dataset/analogies/003.pt,ok,4,45,875,pruned_graphs/softmax/alpha_0.50/node_0.02/003_prune_graph.pt,"[0.0, 0.0006240425282157958, 0.006066428031772375, 0.005714602768421173, 0.0048920949921011925, 0.031131267547607422, 0.12950433790683746, 0.0025082328356802464, 0.013615901581943035, 0.03132670000195503, 0.004816150758415461, 0.021405300125479698, 0.5337299108505249, 0.0029472748283296824, 0.21171779930591583]"
softmax,004.pt,004,dataset/analogies/004.pt,ok,5,46,940,pruned_graphs/softmax/alpha_0.50/node_0.02/004_prune_graph.pt,"[0.0, 0.00013762291928287596, 0.00025445217033848166, 0.0005841166712343693, 0.0003207014233339578, 0.13008011877536774, 0.0077277799136936665, 0.0008949619950726628, 0.0033175586722791195, 0.005711581092327833, 0.011045053601264954, 0.002027492504566908, 0.8266661167144775, 0.0009174497681669891, 0.010315071791410446]"
softmax,005.pt,005,dataset/analogies/005.pt,ok,6,48,982,pruned_graphs/softmax/alpha_0.50/node_0.02/005_prune_graph.pt,"[0.0, 0.003143060952425003, 0.008192400448024273, 0.010826288722455502, 0.002621045336127281, 0.15957222878932953, 0.011072058230638504, 0.003039959818124771, 0.07790301740169525, 0.03245753422379494, 0.008652003481984138, 0.48298048973083496, 0.07672110199928284, 0.001913328655064106, 0.12090551108121872]"
softmax,006.pt,006,dataset/analogies/006.pt,ok,7,44,849,pruned_graphs/softmax/alpha_0.50/node_0.02/006_prune_graph.pt,"[0.0, 0.00023881584638729692, 0.0006617517792619765, 0.0007624526042491198, 0.00012835358211304992, 0.0013781909365206957, 0.029852908104658127, 0.0005178379942663014, 0.0004438903706613928, 0.0027848866302520037, 0.000937830947805196, 0.00019736656395252794, 0.9560075402259827, 0.0005418887012638152, 0.005546344444155693]"
softmax,007.pt,007,dataset/analogies/007.pt,ok,8,46,938,pruned_graphs/softmax/alpha_0.50/node_0.02/007_prune_graph.pt,"[0.0, 0.00021173736604396254, 0.00042043894063681364, 0.00039735680911689997, 0.00020008804858662188, 0.005420742556452751, 0.019335536286234856, 0.0008197986171580851, 0.003380800597369671, 0.07345982640981674, 0.001487800502218306, 0.003193395212292671, 0.8695263862609863, 0.0011653982801362872, 0.020980695262551308]"
softmax,008.pt,008,dataset/analogies/008.pt,ok,9,48,1016,pruned_graphs/softmax/alpha_0.50/node_0.02/008_prune_graph.pt,"[0.0, 6.576674059033394e-05, 0.001464529661461711, 0.0006392082432284951, 0.0007601786055602133, 0.0023286512587219477, 0.004873975645750761, 0.0013635155046358705, 0.001194436801597476, 0.0005348958075046539, 0.0011537151876837015, 0.0027736839838325977, 0.002906197216361761, 0.9496530890464783, 0.0003227961133234203, 0.0299653522670269]"
softmax,009.pt,009,dataset/analogies/009.pt,ok,10,44,867,pruned_graphs/softmax/alpha_0.50/node_0.02/009_prune_graph.pt,"[0.0, 0.003401389578357339, 0.0010194412898272276, 0.003041339572519064, 0.0009436147520318627, 0.007218329701572657, 0.0021909738425165415, 0.0032452200539410114, 0.0004757316783070564, 0.022969992831349373, 0.0011497264495119452, 0.002237218664959073, 0.02826988510787487, 0.8687410354614258, 0.0009830704657360911, 0.05411319062113762]"
softmax,010.pt,010,dataset/analogies/010.pt,ok,11,52,1179,pruned_graphs/softmax/alpha_0.50/node_0.02/010_prune_graph.pt,"[0.0, 0.0010766792111098766, 0.00206928513944149, 0.0008899489184841514, 0.0024991545360535383, 0.00990948174148798, 0.17716844379901886, 0.005262384656816721, 0.005852240137755871, 0.6236109733581543, 0.01278769876807928, 0.003593399887904525, 0.13158798217773438, 0.011990293860435486, 0.011701924726366997]"
softmax,011.pt,011,dataset/analogies/011.pt,ok,12,39,686,pruned_graphs/softmax/alpha_0.50/node_0.02/011_prune_graph.pt,"[0.0, 0.00024025807215366513, 0.00031303302966989577, 0.0007508061244152486, 0.00021770197781734169, 0.13968990743160248, 0.0008410150185227394, 0.0013740549329668283, 0.653643786907196, 0.004077794495970011, 0.19522638618946075, 0.0005695635918527842, 0.0030557001009583473]"
