graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes
010.pt,010,dataset/analogies/010.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/010.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/010.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11
011.pt,011,dataset/analogies/011.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/011.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/011.pt,gemma-4-31b-it,0.2,one_pass,ok,13,9
012.pt,012,dataset/analogies/012.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/012.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/012.pt,gemma-4-31b-it,0.2,one_pass,ok,20,15
013.pt,013,dataset/analogies/013.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/013.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/013.pt,gemma-4-31b-it,0.2,one_pass,ok,15,12
014.pt,014,dataset/analogies/014.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/014.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/014.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
015.pt,015,dataset/analogies/015.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/015.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/015.pt,gemma-4-31b-it,0.2,one_pass,ok,23,12
016.pt,016,dataset/analogies/016.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/016.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/016.pt,gemma-4-31b-it,0.2,one_pass,ok,13,10
017.pt,017,dataset/analogies/017.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/017.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/017.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
018.pt,018,dataset/analogies/018.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/018.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/018.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
019.pt,019,dataset/analogies/019.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/019.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/019.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
