graph_stem,summary_graph_path,prune_graph_path,solver,matched_k,num_nodes,n_supernodes,n_superedges,L,L_atom,L_atom_norm,sil_raw,sil_norm,L_causal,internalized_mass_fraction,dag_removed_mass_fraction,final_retained_mass_fraction,raw_superedge_mass,final_superedge_mass,total_fine_edge_mass
000,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/000_prune_graph.pt,ours-summary,14,44,17,119,0.22740378651268747,-95.25747680664062,0.4055805995508715,0.0793500979683306,0.5396750489841653,0.04922697347450346,0.04922697347450346,0.21620225727658454,0.6126212730390863,163.438848644495,128.10300064086914,209.10635375976562
000,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/000_prune_graph.pt,baseline-spectral-cosine,14,44,17,120,0.2529599873414168,-98.90467834472656,0.3984806268787947,0.029330329235270302,0.5146651646176351,0.10743934780403884,0.10743934780403884,0.202448512410919,0.5595219623734785,146.69848808646202,116.99959740042686,209.10635375976562
000,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/000_prune_graph.pt,baseline-kmeans,14,44,17,105,0.2707575223385141,-69.55925750732422,0.45560730368451696,0.37793197701185616,0.688965988505928,0.08590774099251121,0.08590774099251121,0.2730466144440191,0.5553777705073153,159.75304999947548,116.13302055001259,209.10635375976562
000,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/000_prune_graph.pt,baseline-spectral-adj,14,44,17,107,0.49558844318401807,-7.505202770233154,0.5764078633128572,-0.5255749391278086,0.2372125304360957,0.4147690230551789,0.4147690230551789,0.28305604905976345,0.27908759665247956,81.39965423941612,58.35898971557617,209.10635375976562
000,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/000_prune_graph.pt,baseline-random-same-size,14,44,17,112,0.33173948690581084,-13.297053337097168,0.5651328968786758,-0.6670237409354508,0.1664881295322746,0.0983460769329458,0.0983460769329458,0.35216942662652867,0.4070104664548434,131.3745878636837,85.1084745824337,209.10635375976562
001,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/001_prune_graph.pt,ours-summary,12,40,15,94,0.2704634201750832,-73.48218536376953,0.49139687700025714,0.08325637950092565,0.5416281897504628,0.04952996334990926,0.04952996334990926,0.2660339093382241,0.6185156565663454,155.55776476860046,114.17412447929382,184.59375
001,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/001_prune_graph.pt,baseline-spectral-cosine,12,40,15,93,0.3128791014101736,-96.36897277832031,0.44011134422749726,0.30310730900685934,0.6515536545034297,0.1856468585928499,0.1856468585928499,0.23877053152429523,0.4875889408905251,118.23750233650208,90.00587105751038,184.59375
001,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/001_prune_graph.pt,baseline-kmeans,12,40,15,94,0.3179055420044151,-52.55353927612305,0.5382945294848158,0.41578093330942706,0.7078904666547136,0.0975165545240144,0.0975165545240144,0.2048191942400548,0.6183399208834758,143.54180073738098,114.1416847705841,184.59375
001,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/001_prune_graph.pt,baseline-spectral-adj,12,40,15,95,0.43409487406976877,-9.279597282409668,0.6352642938032376,-0.42388162967971005,0.28805918516014495,0.2329254543362999,0.2329254543362999,0.30031617259105414,0.32724228279833184,86.33453822135925,60.406880140304565,184.59375
001,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/001_prune_graph.pt,baseline-random-same-size,12,40,15,90,0.3707579560967509,-10.860347747802734,0.631722094874418,-0.6265684470171207,0.18671577649143967,0.10979381731908378,0.10979381731908378,0.3018831693555867,0.43417821431777515,114.80397152900696,80.1465847492218,184.59375
002,summary_graphs/entmax/alpha_0.50/node_0.02/002_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/002_prune_graph.pt,ours-summary,13,48,15,95,0.2068139945275353,-132.47532653808594,0.36396350085674833,-0.2656600429532932,0.3671699785233534,0.04966448819832228,0.04966448819832228,0.07358094627950924,0.7243259804581014,221.70623397827148,205.39287948608398,283.56414794921875
002,summary_graphs/entmax/alpha_0.50/node_0.02/002_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/002_prune_graph.pt,baseline-spectral-cosine,13,48,15,91,0.23488552464093634,-177.03207397460938,0.30324098334747385,-0.1521728917598309,0.4239135541200846,0.16653006593439884,0.16653006593439884,0.1823884679506066,0.5460548810083697,189.38283157348633,154.8415870666504,283.56414794921875
