normalization,graph_file,graph_stem,graph_path,status,feature_supernodes,num_supernodes,summary_graph_path
softmax,000.pt,000,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/000.pt,ok,7,22,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/000_summary_graph.pt
softmax,001.pt,001,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/001.pt,ok,9,13,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/001_summary_graph.pt
softmax,002.pt,002,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/002.pt,ok,9,15,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/002_summary_graph.pt
softmax,003.pt,003,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/003.pt,ok,11,13,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/003_summary_graph.pt
softmax,004.pt,004,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/004.pt,ok,7,21,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/004_summary_graph.pt
softmax,005.pt,005,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/005.pt,ok,6,18,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/005_summary_graph.pt
softmax,006.pt,006,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/006.pt,ok,8,22,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/006_summary_graph.pt
softmax,007.pt,007,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/007.pt,ok,9,15,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/007_summary_graph.pt
softmax,008.pt,008,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/008.pt,ok,6,18,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/008_summary_graph.pt
softmax,009.pt,009,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/009.pt,ok,6,21,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/009_summary_graph.pt
softmax,010.pt,010,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/010.pt,ok,6,19,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/010_summary_graph.pt
softmax,011.pt,011,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/011.pt,ok,9,15,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/011_summary_graph.pt
softmax,012.pt,012,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/012.pt,ok,8,21,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/012_summary_graph.pt
softmax,013.pt,013,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/013.pt,ok,8,13,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/013_summary_graph.pt
softmax,014.pt,014,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/014.pt,ok,10,21,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/014_summary_graph.pt
softmax,015.pt,015,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/015.pt,ok,9,20,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/015_summary_graph.pt
softmax,016.pt,016,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/016.pt,ok,10,14,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/016_summary_graph.pt
softmax,017.pt,017,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/017.pt,ok,7,18,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/017_summary_graph.pt
softmax,018.pt,018,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/018.pt,ok,8,20,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/018_summary_graph.pt
softmax,019.pt,019,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/019.pt,ok,11,16,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/019_summary_graph.pt
softmax,020.pt,020,dataset/multihop/mntss/clt-gemma-2-2b-426k/graphs/020.pt,ok,7,16,summary_graphs/multihop/softmax/alpha_0.50/node_0.02/020_summary_graph.pt
