normalization,graph_file,graph_stem,graph_path,status,num_supernodes,summary_graph_path,feature_supernodes
softmax,000.pt,000,dataset/analogies/000.pt,skipped_existing,19,summary_graphs/softmax/alpha_0.50/node_0.02/000_summary_graph.pt,
softmax,001.pt,001,dataset/analogies/001.pt,skipped_existing,18,summary_graphs/softmax/alpha_0.50/node_0.02/001_summary_graph.pt,
softmax,002.pt,002,dataset/analogies/002.pt,ok,15,summary_graphs/softmax/alpha_0.50/node_0.02/002_summary_graph.pt,13
softmax,003.pt,003,dataset/analogies/003.pt,ok,26,summary_graphs/softmax/alpha_0.50/node_0.02/003_summary_graph.pt,14
softmax,004.pt,004,dataset/analogies/004.pt,ok,21,summary_graphs/softmax/alpha_0.50/node_0.02/004_summary_graph.pt,13
softmax,005.pt,005,dataset/analogies/005.pt,ok,24,summary_graphs/softmax/alpha_0.50/node_0.02/005_summary_graph.pt,10
softmax,006.pt,006,dataset/analogies/006.pt,ok,14,summary_graphs/softmax/alpha_0.50/node_0.02/006_summary_graph.pt,10
softmax,007.pt,007,dataset/analogies/007.pt,ok,22,summary_graphs/softmax/alpha_0.50/node_0.02/007_summary_graph.pt,14
softmax,008.pt,008,dataset/analogies/008.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/008_summary_graph.pt,13
softmax,009.pt,009,dataset/analogies/009.pt,ok,21,summary_graphs/softmax/alpha_0.50/node_0.02/009_summary_graph.pt,13
softmax,010.pt,010,dataset/analogies/010.pt,ok,24,summary_graphs/softmax/alpha_0.50/node_0.02/010_summary_graph.pt,11
softmax,011.pt,011,dataset/analogies/011.pt,ok,15,summary_graphs/softmax/alpha_0.50/node_0.02/011_summary_graph.pt,9
softmax,012.pt,012,dataset/analogies/012.pt,ok,23,summary_graphs/softmax/alpha_0.50/node_0.02/012_summary_graph.pt,15
softmax,013.pt,013,dataset/analogies/013.pt,ok,14,summary_graphs/softmax/alpha_0.50/node_0.02/013_summary_graph.pt,10
softmax,014.pt,014,dataset/analogies/014.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/014_summary_graph.pt,11
softmax,015.pt,015,dataset/analogies/015.pt,ok,26,summary_graphs/softmax/alpha_0.50/node_0.02/015_summary_graph.pt,11
softmax,016.pt,016,dataset/analogies/016.pt,ok,17,summary_graphs/softmax/alpha_0.50/node_0.02/016_summary_graph.pt,9
softmax,017.pt,017,dataset/analogies/017.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/017_summary_graph.pt,15
softmax,018.pt,018,dataset/analogies/018.pt,ok,12,summary_graphs/softmax/alpha_0.50/node_0.02/018_summary_graph.pt,9
softmax,019.pt,019,dataset/analogies/019.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/019_summary_graph.pt,10
softmax,020.pt,020,dataset/analogies/020.pt,ok,29,summary_graphs/softmax/alpha_0.50/node_0.02/020_summary_graph.pt,13
softmax,021.pt,021,dataset/analogies/021.pt,ok,15,summary_graphs/softmax/alpha_0.50/node_0.02/021_summary_graph.pt,13
softmax,022.pt,022,dataset/analogies/022.pt,ok,29,summary_graphs/softmax/alpha_0.50/node_0.02/022_summary_graph.pt,13
softmax,023.pt,023,dataset/analogies/023.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/023_summary_graph.pt,8
softmax,024.pt,024,dataset/analogies/024.pt,ok,29,summary_graphs/softmax/alpha_0.50/node_0.02/024_summary_graph.pt,13
softmax,025.pt,025,dataset/analogies/025.pt,ok,31,summary_graphs/softmax/alpha_0.50/node_0.02/025_summary_graph.pt,15
softmax,026.pt,026,dataset/analogies/026.pt,ok,14,summary_graphs/softmax/alpha_0.50/node_0.02/026_summary_graph.pt,11
softmax,027.pt,027,dataset/analogies/027.pt,ok,26,summary_graphs/softmax/alpha_0.50/node_0.02/027_summary_graph.pt,16
softmax,028.pt,028,dataset/analogies/028.pt,ok,25,summary_graphs/softmax/alpha_0.50/node_0.02/028_summary_graph.pt,11
softmax,029.pt,029,dataset/analogies/029.pt,ok,26,summary_graphs/softmax/alpha_0.50/node_0.02/029_summary_graph.pt,13
softmax,030.pt,030,dataset/analogies/030.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/030_summary_graph.pt,8
softmax,031.pt,031,dataset/analogies/031.pt,ok,24,summary_graphs/softmax/alpha_0.50/node_0.02/031_summary_graph.pt,9
softmax,032.pt,032,dataset/analogies/032.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/032_summary_graph.pt,7
